Data;Ticker;MarketCap;P/VP;Price;Rf
01/06/1995;LOGN3;0;0;0;0.00124300003997213
01/06/1995;AMAR3;0;0;0;0.00124300003997213
01/06/1995;LREN3;95.94;19.463.213.623;0.1054590687;0.00124300003997213
01/06/1995;LUPA3;0;0;0;0.00124300003997213
01/06/1995;MDIA3;0;0;0;0.00124300003997213
01/06/1995;MGLU3;0;0;0;0.00124300003997213
01/06/1995;POMO4;117.7;0.7340942271;0.044303358465;0.00124300003997213
01/06/1995;MRFG3;0;0;0;0.00124300003997213
01/06/1995;LEVE3;55.76;0;0.2229752229;0.00124300003997213
01/06/1995;MILS3;0;0;0;0.00124300003997213
01/06/1995;BEEF3;0;0;0;0.00124300003997213
01/06/1995;MOVI3;0;0;0;0.00124300003997213
01/06/1995;MRVE3;0;0;0;0.00124300003997213
01/06/1995;ODPV3;0;0;0;0.00124300003997213
01/06/1995;OIBR3;898.6;0;14.225.137.218;0.00124300003997213
01/06/1995;OFSA3;0;0;0;0.00124300003997213
01/06/1995;PCAR3;694.91;0;0;0.00124300003997213
01/06/1995;PETR4;6287.29;0.45637408792;0.34933462184;0.00124300003997213
01/06/1995;PRIO3;0;0;0;0.00124300003997213
01/06/1995;PTBL3;0;0;0.73939863571;0.00124300003997213
01/06/1995;POSI3;0;0;0;0.00124300003997213
01/06/1995;PFRM3;0;0;0;0.00124300003997213
01/06/1995;QUAL3;0;0;0;0.00124300003997213
01/06/1995;RADL3;0;0;0;0.00124300003997213
01/06/1995;RAPT4;88.54;0.48803676717;0.14836333253;0.00124300003997213
01/06/1995;RAIL3;0;0;0;0.00124300003997213
01/06/1995;SBSP3;0;0;0;0.00124300003997213
01/06/1995;SAPR4;0;0;0;0.00124300003997213
01/06/1995;STBP3;0;0;0;0.00124300003997213
01/06/1995;SMTO3;0;0;0;0.00124300003997213
01/06/1995;SHUL4;29.23;0;0.080175531796;0.00124300003997213
01/06/1995;SEER3;0;0;0;0.00124300003997213
01/06/1995;CSNA3;1496.87;0;0.084634862103;0.00124300003997213
01/06/1995;SQIA3;0;0;0;0.00124300003997213
01/06/1995;SLCE3;0;0;0;0.00124300003997213
01/06/1995;SGPS3;0;0;0;0.00124300003997213
01/06/1995;TAEE11;0;0;0;0.00124300003997213
01/06/1995;TASA4;21.65;0.20526511421;0.25294819262;0.00124300003997213
01/06/1995;TECN3;0;0;0;0.00124300003997213
01/06/1995;TCSA3;0;0;0;0.00124300003997213
01/06/1995;TGMA3;0;0;0;0.00124300003997213
01/06/1995;TELB4;0;0;0;0.00124300003997213
01/06/1995;VIVT3;7219.75;0;11.470.550.631;0.00124300003997213
01/06/1995;LAND3;0;0;0;0.00124300003997213
01/06/1995;TIMS3;0;0;0;0.00124300003997213
01/06/1995;SHOW3;0;0;0;0.00124300003997213
01/06/1995;TOTS3;0;0;0;0.00124300003997213
01/06/1995;TRPL4;0;0;0;0.00124300003997213
01/06/1995;TRIS3;0;0;0;0.00124300003997213
01/06/1995;TPIS3;0;0;0;0.00124300003997213
01/06/1995;TUPY3;8.91;0;30.069.939.019;0.00124300003997213
01/06/1995;UGPA3;0;0;0;0.00124300003997213
01/06/1995;UCAS3;0;0;0;0.00124300003997213
01/06/1995;UNIP6;14.23;0;0.19884103068;0.00124300003997213
01/06/1995;USIM5;1695.78;0;0.54158436725;0.00124300003997213
01/06/1995;VALE3;1489.75;11.403.992.436;0.6582371259;0.00124300003997213
01/06/1995;VLID3;0;0;0;0.00124300003997213
01/06/1995;VIIA3;0;0;0;0.00124300003997213
01/06/1995;VULC3;0;0;0;0.00124300003997213
01/06/1995;WEGE3;297.55;14.154.671.852;0.029848045644;0.00124300003997213
01/06/1995;PORT3;0;0;0;0.00124300003997213
01/06/1995;YDUQ3;0;0;0;0.00124300003997213
01/06/1996;AESB3;0;0;0;0.000832999986485339
01/06/1996;AALR3;0;0;0;0.000832999986485339
01/06/1996;ALPA4;111.28;0.3348492459;0.11256134653;0.000832999986485339
01/06/1996;ALUP11;0;0;0;0.000832999986485339
01/06/1996;ABEV3;4191.7;34.322.311.255;0.10523780517;0.000832999986485339
01/06/1996;AMER3;0;0;0;0.000832999986485339
01/06/1996;ANIM3;0;0;0;0.000832999986485339
01/06/1996;ARZZ3;0;0;0;0.000832999986485339
01/06/1996;AZEV4;3.65;0.15631030896;0.35152095247;0.000832999986485339
01/06/1996;BLUT4;1.1;0;31.658.049.785;0.000832999986485339
01/06/1996;BRAP3;0;0;0;0.000832999986485339
01/06/1996;BRAP4;0;0;0;0.000832999986485339
01/06/1996;AGRO3;0;0;0;0.000832999986485339
01/06/1996;BRKM5;716.31;0;13.343.611.029;0.000832999986485339
01/06/1996;BRFS3;445.42;0;0;0.000832999986485339
01/06/1996;CCRO3;0;0;0;0.000832999986485339
01/06/1996;CLSC4;751.54;0;31.883.495.382;0.000832999986485339
01/06/1996;CMIG4;4854.93;0;0.25794974527;0.000832999986485339
01/06/1996;CESP6;423.38;0;0;0.000832999986485339
01/06/1996;COCE5;382.31;0.80828604336;0.091794685969;0.000832999986485339
01/06/1996;COGN3;0;0;0;0.000832999986485339
01/06/1996;CGAS5;0;0;0;0.000832999986485339
01/06/1996;CSMG3;0;0;0;0.000832999986485339
01/06/1996;CPLE6;2657.9;0;0;0.000832999986485339
01/06/1996;CSAN3;0;0;0;0.000832999986485339
01/06/1996;CPFE3;0;0;0;0.000832999986485339
01/06/1996;CRPG5;55.19;0;0.40520029581;0.000832999986485339
01/06/1996;CARD3;0;0;0;0.000832999986485339
01/06/1996;CVCB3;0;0;0;0.000832999986485339
01/06/1996;CYRE3;158.2;0;0;0.000832999986485339
01/06/1996;DASA3;0;0;0;0.000832999986485339
01/06/1996;DXCO3;0;0;0;0.000832999986485339
01/06/1996;DEXP3;0;0;0;0.000832999986485339
01/06/1996;PNVL3;58.34;0.92661826388;0.060957235003;0.000832999986485339
01/06/1996;DIRR3;0;0;0;0.000832999986485339
01/06/1996;ECOR3;0;0;0;0.000832999986485339
01/06/1996;ELET3;2113.8;0.33523738301;36.808.984.657;0.000832999986485339
01/06/1996;EMBR3;433.24;42.766.897.847;0.27887624339;0.000832999986485339
01/06/1996;ENAT3;0;0;0;0.000832999986485339
01/06/1996;ENBR3;0;0;0;0.000832999986485339
01/06/1996;ENGI3;0;0;#VALOR!;0.000832999986485339
01/06/1996;ENEV3;0;0;0;0.000832999986485339
01/06/1996;EGIE3;0;0;0;0.000832999986485339
01/06/1996;EQTL3;0;0;0;0.000832999986485339
01/06/1996;ETER3;188.18;0.71670622942;0.21379859863;0.000832999986485339
01/06/1996;EUCA4;56.41;0.21682603864;11.217.008.531;0.000832999986485339
01/06/1996;EVEN3;0;0;0;0.000832999986485339
01/06/1996;EZTC3;0;0;0;0.000832999986485339
01/06/1996;FHER3;0;0;0;0.000832999986485339
01/06/1996;FESA4;22.51;0.16104883498;0.064928721465;0.000832999986485339
01/06/1996;FLRY3;0;0;0;0.000832999986485339
01/06/1996;FRAS3;59.11;58.735.348.264;0.12873623202;0.000832999986485339
01/06/1996;GFSA3;0;0;0;0.000832999986485339
01/06/1996;GGBR4;377.17;0.31290903079;0.077819559458;0.000832999986485339
01/06/1996;GOAU4;143.46;0.31578915685;0.080604620513;0.000832999986485339
01/06/1996;GRND3;0;0;0;0.000832999986485339
01/06/1996;NTCO3;0;0;0;0.000832999986485339
01/06/1996;GUAR3;246.62;0.76221867266;0.10020315215;0.000832999986485339
01/06/1996;HBOR3;0;0;0;0.000832999986485339
01/06/1996;HYPE3;0;0;0;0.000832999986485339
01/06/1996;PARD3;0;0;0;0.000832999986485339
01/06/1996;MEAL3;0;0;0;0.000832999986485339
01/06/1996;ROMI3;41.61;0;0.21941677899;0.000832999986485339
01/06/1996;MYPK3;48.95;0.18790341855;12.249.214.482;0.000832999986485339
01/06/1996;RANI3;19.63;0;0.059638466818;0.000832999986485339
01/06/1996;JBSS3;0;0;0;0.000832999986485339
01/06/1996;JHSF3;0;0;0;0.000832999986485339
01/06/1996;KEPL3;0;0;0;0.000832999986485339
01/06/1996;KLBN11;874.27;0;0;0.000832999986485339
01/06/1996;LIGT3;3746;0;36.240.382.227;0.000832999986485339
