Data,Ticker,MarketCap,P/VP,Price,Rf
6/1/1995,EGIE3,0,0,0,0.00124300003997213
6/1/1995,EQTL3,0,0,0,0.00124300003997213
6/1/1995,ETER3,181.9036942,0,0.2137985986,0.00124300003997213
6/1/1995,EUCA4,59.63698646,0.1979289639,1.121700853,0.00124300003997213
6/1/1995,EVEN3,0,0,0,0.00124300003997213
6/1/1995,EZTC3,0,0,0,0.00124300003997213
6/1/1995,FHER3,0,0,0,0.00124300003997213
6/1/1995,FESA4,24.71716712,0.1807801581,0.06492872147,0.00124300003997213
6/1/1995,FLRY3,0,0,0,0.00124300003997213
6/1/1995,FRAS3,11.2311124,-0.4605713151,0.128736232,0.00124300003997213
6/1/1995,GFSA3,0,0,0,0.00124300003997213
6/1/1995,GGBR4,100.0395234,0,0.07781955946,0.00124300003997213
6/1/1995,GOAU4,71.60547896,0.1660031969,0.08060462051,0.00124300003997213
6/1/1995,GRND3,0,0,0,0.00124300003997213
6/1/1995,NTCO3,0,0,0,0.00124300003997213
6/1/1995,GUAR3,99.58413303,0.3311703569,0.1002031522,0.00124300003997213
6/1/1995,HBOR3,0,0,0,0.00124300003997213
6/1/1995,HYPE3,0,0,0,0.00124300003997213
6/1/1995,PARD3,0,0,0,0.00124300003997213
6/1/1995,MEAL3,0,0,0,0.00124300003997213
6/1/1995,ROMI3,68.24933488,0,0.219416779,0.00124300003997213
6/1/1995,MYPK3,97.18570962,0.4080880908,1.224921448,0.00124300003997213
6/1/1995,RANI3,0,0,0.05963846682,0.00124300003997213
6/1/1995,JBSS3,0,0,0,0.00124300003997213
6/1/1995,JHSF3,0,0,0,0.00124300003997213
6/1/1995,KEPL3,0,0,0,0.00124300003997213
6/1/1995,KLBN11,751.3296509,0,0,0.00124300003997213
6/1/1995,LIGT3,3231.553213,0,36.24038223,0.00124300003997213
6/1/1995,RENT3,0,0,0,0.00124300003997213
6/1/1995,LCAM3,0,0,0,0.00124300003997213
6/1/1995,LOGN3,0,0,0,0.00124300003997213
6/1/1995,AMAR3,0,0,0,0.00124300003997213
6/1/1995,LREN3,95.94057023,1.946321362,0.1054590687,0.00124300003997213
6/1/1995,LUPA3,0,0,0,0.00124300003997213
6/1/1995,MDIA3,0,0,0,0.00124300003997213
6/1/1995,MGLU3,0,0,0,0.00124300003997213
6/1/1995,POMO4,117.070411,0.7340942271,0.04430335847,0.00124300003997213
6/1/1995,MRFG3,0,0,0,0.00124300003997213
6/1/1995,LEVE3,55.7579437,0,0.2229752229,0.00124300003997213
6/1/1995,MILS3,0,0,0,0.00124300003997213
6/1/1995,BEEF3,0,0,0,0.00124300003997213
6/1/1995,MOVI3,0,0,0,0.00124300003997213
6/1/1995,MRVE3,0,0,0,0.00124300003997213
6/1/1995,ODPV3,0,0,0,0.00124300003997213
6/1/1995,OIBR3,898.6004304,0,14.22513722,0.00124300003997213
6/1/1995,OFSA3,0,0,0,0.00124300003997213
6/1/1995,PCAR3,694.9112353,0,0,0.00124300003997213
6/1/1995,PETR4,6287.287659,0.4563740879,0.3493346218,0.00124300003997213
6/1/1995,PRIO3,0,0,0,0.00124300003997213
6/1/1995,PTBL3,0,0,0.7393986357,0.00124300003997213
6/1/1995,POSI3,0,0,0,0.00124300003997213
6/1/1995,PFRM3,0,0,0,0.00124300003997213
6/1/1995,QUAL3,0,0,0,0.00124300003997213
6/1/1995,RADL3,0,0,0,0.00124300003997213
6/1/1995,RAPT4,88.53670208,0.4880367672,0.1483633325,0.00124300003997213
6/1/1995,RAIL3,0,0,0,0.00124300003997213
6/1/1995,SBSP3,0,0,0,0.00124300003997213
6/1/1995,SAPR4,0,0,0,0.00124300003997213
6/1/1995,STBP3,0,0,0,0.00124300003997213
6/1/1995,SMTO3,0,0,0,0.00124300003997213
6/1/1995,SHUL4,29.23285694,0,0.0801755318,0.00124300003997213
6/1/1995,SEER3,0,0,0,0.00124300003997213
6/1/1995,CSNA3,1496.873187,0,0.0846348621,0.00124300003997213
6/1/1995,SQIA3,0,0,0,0.00124300003997213
6/1/1995,SLCE3,0,0,0,0.00124300003997213
6/1/1995,SGPS3,0,0,0,0.00124300003997213
6/1/1995,TAEE11,0,0,0,0.00124300003997213
6/1/1995,TASA4,21.64500103,0.2052651142,0.2529481926,0.00124300003997213
6/1/1995,TECN3,0,0,0,0.00124300003997213
6/1/1995,TCSA3,0,0,0,0.00124300003997213
6/1/1995,TGMA3,0,0,0,0.00124300003997213
6/1/1995,TELB4,0,0,0,0.00124300003997213
6/1/1995,VIVT3,7219.74568,0,1.147055063,0.00124300003997213
6/1/1995,LAND3,0,0,0,0.00124300003997213
6/1/1995,TIMS3,0,0,0,0.00124300003997213
6/1/1995,SHOW3,0,0,0,0.00124300003997213
6/1/1995,TOTS3,0,0,0,0.00124300003997213
6/1/1995,TRPL4,0,0,0,0.00124300003997213
6/1/1995,TRIS3,0,0,0,0.00124300003997213
6/1/1995,TPIS3,0,0,0,0.00124300003997213
6/1/1995,TUPY3,80.90645702,0,3.006993902,0.00124300003997213
6/1/1995,UGPA3,0,0,0,0.00124300003997213
6/1/1995,UCAS3,0,0,0,0.00124300003997213
6/1/1995,UNIP6,140.2283393,0,0.1988410307,0.00124300003997213
6/1/1995,USIM5,1695.776714,0,0.5415843673,0.00124300003997213
6/1/1995,VALE3,10489.74756,1.140399244,0.6582371259,0.00124300003997213
6/1/1995,VLID3,0,0,0,0.00124300003997213
6/1/1995,VIIA3,0,0,0,0.00124300003997213
6/1/1995,VULC3,0,0,0,0.00124300003997213
6/1/1995,WEGE3,297.5476022,1.415467185,0.02984804564,0.00124300003997213
6/1/1995,PORT3,0,0,0,0.00124300003997213
6/1/1995,YDUQ3,0,0,0,0.00124300003997213
6/1/1996,AESB3,0,0,0,0.000832999986485339
6/1/1996,AALR3,0,0,0,0.000832999986485339
6/1/1996,ALPA4,111.2752472,0.3348492459,0.06462544283,0.000832999986485339
6/1/1996,ALUP11,0,0,0,0.000832999986485339
